DA10102	VI SORBITS
DC15903	CELENID 25MG TABLET
DC15905	CINNARIZINE 25MG TABLET
DC16201	TRANSAMIN 250MG. TABLETS
DC16202	TRANSAMIN 500MG CAPSULE
DC16301	WARFARIN SODIUM 1MG TABLET
DC16302	WARFARIN SODIUM 5MG TABLET
DC16306	WARF 1MG TABLET
DC16402	PERSANTIN-ZANTIN 100MG TABLET
DC16704	PRAZOSIN HYD. 1MG TABLET
DC16705	MINIPRESS XL 5MG TABLET
DC16706	MINIPRESS 2.5MG TABLET
DC16715	URIMAX 0.4MG CAPSULE
DC16716	TAMSOLIN 0.4MG CAPSULE
DC16717	TAMSIN - 0.4MG CAPSULE
DC16719	TAMSULOSIN HCL 0.4MG CAPSULE
DC16720	MAXFLOW 0.4MG
DC17001	HERBESSER 90 SR TABLET
DC17009	BETALOC 50MG TABLET
DC17011	HERBESSER R-100 CAPSULE
DC17012	HERBESSER R -200 CAPSULE
DC17013	BETALOC ZOK 25MG TABLET
DC17014	BETALOC ZOK 50MG TABLET
DC17016	CONCOR 5MG TABLET
DC17018	ZABESTA 2.5MG TABLET
DC17021	REVELOL XL 50 TABLET
DC17022	CONCOR 2.5MG TABLET
DC17023	BISOPROLOL FUMARATE 5MG TABLET
DC17111	AMLONG 5MG TABLET
DC17112	AMLONG 10MG TABLET
DC17116	STAMLO 5MG TABLET
DC17120	AMLOSUN 5MG TABLETS
DC17122	AMILODIPINE 5MG TABLET
DC17401	DILTIAZEM 30MG TABLET
DC17402	DILTIAZEM 60MG TABLET
DC17505	LIPICARD 200MG CAPSULE
DC17508	FENOCAL 67 CAPSULE
DC17509	FENOFIBRATE 200MG CAPSULE
DC17510	STANLIP 160MG TABLET
DC17603	COVERSYL 10MG TABLET
DC17901	CARDIPRIN 100MG TABLET
DC17902	ASPIN DELAYED REL. 100 TABLET
DC17908	ECOSPRIN 150 E/C TABLET
DC17909	ECORIN 150MG TABLET
DC17910	ECORIN 75MG TABLET
DC17913	ECOSPRIN 75MG TABLET
DC17915	CLOPACT 75MG TABLET
DC17917	CLOPILET 75MG TABLET
DC17919	CLOPID 75MG TABLET
DC17920	NOKLOT 75MG TABLET
DC17922	CLOPIDEGREL 75MG TABLET
DC17925	PLAVIX 75MG
DC17926	CLOPIVAS 75MG TABLET
DC17928	ASPIRIN 75MG TABLET
DC17929	ASPIRIN 150MG TABLET
DC17931	RECLAP 10MG TABLET
DC18303	DILCARDIA 90SR TABLET
DC18604	TANATRIL 5MG TABLET
DC18605	TANATRIL 10MG TABLET
DC18802	CORALAN 5MG TABLET
DC18803	IVAB 5MG TABLET
DC18902	DIOVAN 80MG CAPSULE
DC18904	ANGIZAAR 25MG TABLET
DC18905	ANGIZAR 50MG TABLET
DC18906	ANGIZAAR - H TABLET
DC18907	REPACE 25MG TABLET
DC18908	REPACE 50MG TABLET
DC18911	LOSACAR 25MG TABLET
DC18912	LOSACAR 50MG TABLET
DC18914	RESILO 50MG TABLET
DC18915	ATACAND 4MG TABLET
DC18916	ATACAND 8MG TABLET
DC18918	REPACE H TABLET
DC18919	LOSACAR-H TABLET
DC18920	ZAART 25MG TABLET
DC18921	ZAART 50MG TABLET
DC18925	LOSARTAN POTASSIUM 50MG TABLET
DC18931	LARA 50MG TABLET
DC18935	ZAART - H TABLET
DC18937	NORMOPRESS 50MG
DC18938	NORMOPRESS 25MG TABLET
DC18939	TELSART 20MG TABLET
DC18940	TELSART 40MG TABLET
DC18942	TELSART 80MG TABLET
DC18943	TELDAY 40 TABLET
DC18949	TAZLOC 40 TABLET
DC18950	TAZLOC 20 TABELT
DC18951	TAZLOC 80 TABLET
DC18952	MYOTAN 50 TABLET
DC18953	TELDAY 80 TABLET
DC18955	TELSART H TABLET
DC18957	IROVEL-150 TABLET
DC18958	IROVEL-300 TABLET
DC18960	TEL OD 40MG TABLET
DC18966	TELMISARTAN 40MG TABLET
DC18970	CRESAR 40MG TABLET
DC19002	UDIHEP 150MG TABLET
DC70102	NITRIL SPRAY
DCE0003	DEPLATTE 75MG TABLET
DCE0006	ROSEDAY 10MG
DCE0010	CILACAR 5MG TABLET
DCE0011	CILACAR 10MG TABLET
DCE0014	CALAN SR 240MG TABLET
DCE0015	VAPTOR 5MG TABLET
DCE0016	VAPTOR 10MG TABLET
DCE0021	IRBEZYD 75MG TABLET
DCE0025	TASCIT 1080MG TABLET
DCE0026	CORBLOC 2.5MG TABLET
DCE0027	IRBEZYD 150MG TABLET
DCE0031	NEFIN 20 ER
DCE0033	BISOVIC 5MG TABLET
DCE0034	ADVANT 8MG
DCE0035	PRETERAX 10MG
DCE0036	TAMVIC 0.4MG
DCE0037	ADVANT 16MG
DCE0038	EPNONE 25MG
DCE0040	ATORLIP 40MG
DCE0041	AMLOPRES-5
DCE0042	ARBITEL 40MG
DCE0043	AMLONG 2.5MG
DCE0044	DUOCARD 5MG
DCE0045	DUOCARD 10MG
DCE0046	URSODIOL 250MG
DCE0048	CILACAR 20MG
DCE0049	T-SAR 20MG
DCE0050	T-SAR 40MG
DCE0051	T-SAR 80MG
DCE0052	ALFATAM 0.4MG CAPSULE
DCE0053	INDITOR - SR 1.5MG TABLET
DCE0055	EMTAN 50MG TABLET
DCE0056	XALIA 10MG TABLET
DCE0057	XALIA 15MG TABLET
DCE0058	XALIA 20MG TABLET
DCE0061	URIFLO 0.4MG CAPSULE
DCE0063	RANOLA 500MG TABLET
DCE0064	SPMC ATOVASTATIN 10MG TABLET
DCE0065	SPMC LOSARTAN POTASSIUM 50MG TABLET
DCE0068	DYTOR 10MG TABLET
DCE0069	TRIPTOR 250MG CAPSULE
DCE0070	XSPRIN 75MG TABLET
DCE0071	LUMID 40MG TABLET
DCE0073	EZEMIBE 10MG TABLET
DCE0074	ALPHAPRESS 1MG TABLET
DCE0075	THROMBAN 2.5MG TABLET
DCE0076	UPERIO 50MG TABLET
DCE0077	UPERIO 100MG TABLET
DCE0078	TENOLOL 25MG TABLET
DCE0080	OSARTIL 25MG TABLET
DCE0081	OSARTIL 50MG TABLET
DCE0082	SOLFICARE 5MG TABLET
DCE0083	ROS-10MG TABLET
DCE0084	SACVIN 50MG TABLET
DCE0086	SACVIN 200MG TABLET
DCE0087	XCEPT 10MG TABLET
DCE0088	XCEPT 15MG TABLET
DCE0089	XCEPT 20MG TABLET
DCE0090	ANPLAG 90MG TABLET
DCE0091	ATOSAN 10MG TABLET
DCE0092	ATOSAN 20MG TABLET
DCE0093	MELSARTAN 50MG TABLET
DCE0094	BISOVIC 2.5MG TABLET
DCE0095	LOSATRUST 50MG TABLET
DCE0096	CALAN SR 240MG TABLET
DCE0097	BISOLOL 10MG TABLET
DCE0098	PRAZO XR 2.5MG TABLET
DCE0099	PRAZO XR 5MG TABLET
DCE0100	CILCARD 10MG TABLET
DCE0101	RANOSIN ER 500MG TABLET
DCE0102	RENITEC 5MG TABLET
DCE0103	RENITEC 10MG TABLET
DCE0104	ATORLIP 10MG TABLET
DCE0105	ATORLIP 20MG TABLET
DCE0106	CLOPEX 75MG TABLET
DCE0107	LOZART 50MG TABLET
DCE0108	VACUTRO 50MG TABLET
DCE0109	VACUTRO 100MG TABLET
DCE0110	VACUTRO 200MG TABLET
DD00502	MIXTARD PENFILL
DD00504	NOVOMIX 30
DD00507	HUMULIN 30/70 U PENFILL
DD00509	LEVEMIR FLEX PEN
DD00511	LANTUS CARTRIDGE
DD00801	ACTRAPID HM PENFILL
DD00804	NOVORAPID FLEXIPEN
DD01301	MIXTARD HM 30/70
DD10106	DIABOSE 50MG. TABLETS.
DD10113	PIOZ 15MG TABLET
DD10114	PIOZ 30MG
DD10124	PIOGLITAZONE 15MG -SPC TABLET
DD10127	PIOGLITAZONE 15MG TABLET
DD10301	DAONIL TABLETS
DD10401	DIAMICRON 80MG TABLET
DD10402	DIAMICRON MR 30MG TABLET
DD10404	GLUCOZIDE 80MG TABLET
DD10406	NIDONIL 80MG TABLET
DD10408	RECLIDE 80MG TABLET
DD10409	DIANORM 80MG TABLET
DD10410	GLICLAZIDE 80MG SPC TABLET
DD10412	DIAMICRON MR 60MG TABLET
DD10415	RECLIDE MR 30MG TABLET
DD10416	RECLIDE MR 60MG TABLET
DD10418	GLICLAZIDE MR 30MG TABLET
DD10419	GLICLAZIDE MR 60MG TABLET
DD10420	GLICLAZIDE 40MG TABLET
DD10421	GLICLAZIDE 80MG TABLET
DD10423	GLYCINORM MR 30MG TABLET
DD10424	GLITROL 60MG CAPSULE
DD10426	GLIZIDE 80MG TABLET
DD10428	DIATICA 80MG TABLET
DD10429	GLYCINORM 40MG TABLET
DD10601	GLYNASE 5MG TABLET
DD10618	GP-1MG TABLET
DD10619	GP-2MG TABLET
DD10620	GETRIL 1MG TABLET
DD10622	GETRIL 3MG TABLET
DD10623	GETRIL 4MG TABLET
DD10624	GLEMAZ 4MG TABLET
DD10627	GETRIL 2MG TABLET
DD10628	EUGLIM 2MG TABLET
DD10629	EUGLIM 4MG TABLET
DD10701	TOLBUTAMIDE 500MG TABLET
DD10901	SPMC METFORMIN 500MG TABLET
DD10902	METFORMIN 500MG TABLET
DD11101	GLYCOMET 500MG TABLET
DD11102	GLYCOMET 850MG.TABLET
DD11213	GLUCOPHAGE 850MG TABLET
DD11214	OBIMET/BIGSENS-XR 500 TABLET
DD11218	NEVOX XR 500MG TABLET
DD11219	CETAPIN-XR 500MG
DD11220	DIABETA SR 500MG TABLET
DD11222	MELMET SR 500MG TABLET
DD11223	BIGMET 500MG TABLET
DD11228	METFORMIN SR 500MG TABLET
DD11232	PROGLUTROL 500MG TABLET
DD11233	SPMC METFORMIN 500MG BLISTER TABLET
DD11301	CARBIMAZOLE 5MG TABLET
DD12001	MITHURI TABLETS 28`S
DD12011	POSTINOR -2 TABLETS
DD12014	POSTINOR -1 TABLET
DD12101	SPMC PREDNISOLONE 5MG TABLET
DD12115	MEDIXON 4MG TABLET
DD12116	MEDIXON 16MG TABLET
DD12117	HEXILON 4MG TABLET
DD12121	PREDNITAB 5MG TABLET
DD12201	PRIMOLUT- N 5MG TABLET
DD12401	SITA 50MG TABLET
DD12402	TREVIA 50MG TABLET
DD12403	TREVIA 100MG TABLET
DD12404	SITA 100MG TABLET
DD12405	INOSITA 50MG TABLET
DD12406	INOSITA 100MG TABLET
DD12409	VILDA 50MG TABLET
DD12412	SITAGLIPTIN 50MG TABLET
DD12413	SITAGLIPTIN 100MG TABLET
DD12414	SITAGEN 50MG TABLET
DD12416	SITAGEN 25MG TABLET
DD12420	GALVUS 50MG TABLET
DD12421	LINO 5MG TABLET
DD12422	LINAGLIP 5MG TABLET
DD12801	DEXAMETHASONE 0.5MG TABLET
DD12902	FEMILON TABLET 21'S
DD12905	FEMOSTON CONTI 1/5MG 28S
DD13101	DIANE-35 21'S
DD13103	YASMIN 21`S
DD13605	VIAGRA 50MG TABLET
DD13606	CUPID 50MG TABLET
DD13607	CIALIS 20MG TABLET
DD13608	SILAGRA 50MG TABLET
DD13613	MEGAFILL 10MG TABLET
DD13615	SILAGRA 100MG TABLET
DD15101	T4 100MCG MONTPELLIER TABLET
DD15102	THYROXINE 50MCG TABLET
DD15106	CUPID 100MG TABLET
DD22802	PREDKID SYRUP 5MG/5ML
DD40003	CINNAMON WITH BEE HONEY
DDE0002	METFORMIN 500MG-SPC TABLET
DDE0004	GLYCHEK 40MG TABLET
DDE0005	GLYCHEK 80MG TABLET
DDE0007	PREDNISOLONE 5MG TABLET
DDE0008	EMZIN 10MG TABLET
DDE0011	NSIT 50MG TABLET
DDE0012	NSIT 100MG TABLET
DDE0013	T4 50MCG MONTPELLIER TABLET
DDE0017	EMPA 10MG TABLET
DDE0018	EG 10MG TABLET
DDE0021	EMPAVIC 10MG TABLET
DDE0022	EMPAVIC 25MG TABLET
DDE0024	SITAVIC 100MG TABLET
DDE0025	LINAVIC 5MG TABLET
DDE0026	HUMALOG MIX 50 PENFILL
DDE0034	EMPAZIN 10MG TABLET
DDE0038	DIABEMET 500MG
DDE0039	EMPIGET 10MG
DDE0040	EMPIGET 25MG
DDE0042	DAPAZIN 5MG
DDE0043	DAPAZIN 10MG
DDE0044	DRONIS 24'S
DDE0045	DELSIA 21'S
DDE0047	XENGLU 10MG
DDE0048	XENGLU 25MG
DDE0049	ABASAGLAR
DDE0050	EMFOGEN 10MG
DDE0051	EMFOGEN 25MG
DDE0053	GLUCOPHAGE XR 500MG TABLET
DDE0055	JARDY 10MG TABLET
DDE0056	GLYMIN XR 500MG
DDE0058	ORINASE 2MG TABLET
DDE0059	ORINASE 4MG TABLET
DDE0060	EUTHYROX 100MCG TABLET
DDE0061	MINMOR 500MG TABLET
DDE0062	EMPAMOR 10MG TABLET
DDE0063	EMPAMOR 25MG TABLET
DDE0064	EMPA 25MG TABLET
DDE0065	MSJI DEXAMETHASONE 0.5MG TABLET
DDE0066	SPMC GLYCLAZIDE 80MG TABLET
DDE0067	SPMC PREDNISOLONE 5MG TABLET
DDE0069	SITAMAX 50MG TABLET
DDE0070	SITAMAX 100MG TABLET
DDE0071	SPMC LEVOTHYROXINE 50MCG TABLET
DDE0072	JARDY 25MG TABLET
DDE0073	GLYCINORM 80MG TABLET
DDE0074	DEFZA 6MG TABLET
DDE0075	THYRONORM 25MCG TABLET (120S)
DDE0076	THYRONORM 100MCG TABLET (120S)
DDE0077	DAGIFLO 5MG TABLET
DDE0078	DAGIFLO 10MG TABLET
DDE0079	MELMET 850MG TABLET
DDE0080	THYRONORM 50MCG TABLET (120S)
DDE0081	DAPAGLYN 5MG TABLET
DDE0082	DAPAGLYN 10MG TABLET
DDE0083	CELOMET 500MG TABLET
DDE0084	JARZIN 10MG TABLET
DDE0085	JARZIN 25MG TABLET
DDE0086	SITAVIC 50MG TABLET
DDE0087	GLIVIC 40MG TABLET
DDE0088	GLIVIC 80MG TABLET
DDE0089	GLIVIC MR 30MG TABLET
DDE0090	GLIVIC MR 60MG TABLET
DDE0091	GLUCOPHAGE XR 1000MG TABLET
DDE0092	GLYCOMET SR 500MG TABLET (200s)
DDE0093	GLIZIN 80MG TABLET
DDE0094	NORGEST 5MG TABLET
DE15402	AVIZOR ENZYME TABLET
DE33801	CHLORAMPHENICOL EYE OINTMENT
DE50109	PROBETA DROPS E/E/N
DE50110	PROBETA-N DROPS E/E/N
DE50116	BETASOL-N EYE DROPS
DE50117	BETASOL EYE DROPS
DE50203	CIPLOX EYE/EAR DROPS.
DE50207	APDROPS EYE DROPS 0.5%
DE50209	ZYMAR 0.3% EYE DROPS
DE50210	VIGAMOX EYE DROP 0.5%
DE50211	ZYMAXID 0.5% EYE DROPS
DE50302	FUSIGEL EYE DROP
DE50402	TRAVATAN EYE DROPS 0.004%
DE50403	LUMIGAN 0.03%
DE50404	BIMAT EYE DROPS 0.03%
DE50407	LUMIGAN 0.01%
DE50408	GANFORT
DE50410	XALATAN 0.005%
DE50411	AVATAN EYE DROPS
DE50521	OCUPRES-E OPHTH. SOLUTION 0.5%
DE51203	OPTOPRED EYE DROP
DE51205	PREDNISOLONE ACE. OPH. SUS.
DE51509	ALPHAGAN EYE DROPS
DE51510	CO-DORZAL EYE DROP
DE51512	BETALOL 0.5% EYE DROP
DE52401	F.M.L LIQUIFILM EYE DROPS
DE52803	TOBRADEX EYE DROPS
DE52805	SANTODEX EYE DROP
DE53603	GENTACIL DROPS E/E
DE53701	TEARS NATURALE-II- ARTIFICIAL TEARS
DE55706	CANDID EAR DROPS
DE55711	REFRESH TEARS EYE DROPS
DE55712	REFRESH LIQUIGEL EYE DROPS
DE55713	OPTIVE
DE55714	SYSTANE ULTRA LUBRICANT EYE DROPS
DE55715	HYLOSAN EYE DROP
DE63001	AVIZOR AQUASOFT
DE63002	AVIZOR SALINE
DE65702	RENU MULTIPLUS
DE65705	AVIZOR AQUASOFT
DE65709	BAUSCH & LOMB BIO TRUE
DE65711	RENU
DEE0009	OPTIVE UD
DEE0010	COMBIGAN
DEE0011	CIPRO EYE/EAR DROP
DEE0012	SOFTDROPS LUBRICATING EYE DROPS
DEE0013	OLOPAT EYE DROPS
DEE0014	LOTEPRED-T OPHTHALMIC SUSPENSION
DEE0015	L-PRED OPHTHALMIC SUSPENSION
DEE0016	HYALEIN 0.1% EYE DROPS
DEE0017	FORTIPRED OPHTHALMIC SUSPENSION 1%
DEE0018	NEPANAC OPHTHALMIC SUSPENSION 0.1%
DEE0019	LOXIGET EYE OINTMENT 0.3%
DF10208	CLOXIL 250MG
DF10215	PHYLOPEN DS CAPS
DF10216	PHYLOPEN 250MG
DF10218	CLOXIL 500MG
DF10302	MICRODOX DT 100MG. TABLETS
DF11102	**AMOXIL 500MG. CAPSULES.
DF11103	AXCIL 250MG
DF11104	AXCIL 500MG
DF11201	AUGMENTIN TABLETS 375MG.
DF11202	AUGMENTIN TABLETS-625MG (BD)
DF11204	NOVACLAV 375MG TABLET
DF11205	NOVACLAV 625MG
DF11207	ENHANCIN(625MG).TABLETS.
DF11212	CLAVAMOX 500MG.TABLETS
DF11213	CURAM TABLETS 625MG.
DF11215	AMOX.& CLA.TAB.375MG(MYCLAV)
DF11219	BACTOCLAV 625
DF11222	AMOX & CLAV 625MG
DF11224	CLAVAM 625MG TABLET
DF11401	SELEXID 200MG TABLET
DF11515	CEPHALEXIN 250MG.CAPSULES.
DF11518	CEPHADEX 500
DF11603	CIPROBID 250MG TABLET
DF11604	CIPROBID 500MG
DF11802	SPMC CLOXACILLIN 250MG CAPSULE
DF11803	SPMC AMOXYCILLIN 250MG CAPSULE
DF11808	SPMC AMOXYCILLIN 500MG CAPSULE
DF11817	BLUCEF 250MG. DISP. TABS.
DF12001	DALACIN C 150MG
DF12002	DALACIN C 300MG
DF12601	DOXYN CAPSULES
DF12605	NOROXIN 400MG TABLET
DF12621	MOXIMAC 400MG TABLET
DF12706	LEFLOX 500MG.TABLETS
DF12709	LEVOFLOXACIN 500MG
DF13101	ERYTHROCIN TABLETS 250MG
DF13102	ERYTHROCIN TABLETS 500MG
DF13111	KLARICID 250MG TABLET
DF13112	ZITHRIN 250MG TABLET
DF13113	CLARITEK TABLETS 250MG.
DF13123	ZITHROCIN 250MG
DF13125	ZITHRIN 500MG TABLET
DF13126	KLARICID 500MG TABLET
DF13127	AZEE 500
DF13128	AZEE 250
DF13129	CLARION 500MG TABLET
DF13130	CLARITEK 500MG
DF13133	AZITHROMYCIN 500MG
DF13135	SPMC CLARITHROMYCIN 250MG TABLET
DF13301	RANOXYL CAPSULES 250MG
DF13402	SPORIDEX CAPSULES 500MG
DF14108	SPMC CO-TRIMOXAZOLE 480MG TABLET
DF14201	SULFASALAZINE 500MG
DF14801	METROGYL TABLETS 200MG
DF14802	METROGYL TABLETS 400MG
DF15405	FUNGICON 150MG. TABLETS.
DF15408	CANDITRAL 100MG. CAPSULES
DF15409	ITRACON 100MG
DF15615	ACYCLOVIR TABLETS.
DF15706	HCQS 200MG TABLET
DF15901	ZINNAT 125MG TABLET
DF15902	ZINNAT 250MG TABLET
DF15904	ZINNAT 500MG TABLET
DF15912	CEFASYN 250 TABLET
DF15913	CEFASYN 125
DF15914	CEFASYN 500
DF15915	CEFUROXIME 250MG. TABLETS
DF15916	MILCEF 250MG TABLET
DF15933	TRIFIX 200MG
DF15935	MAHACEF 100MG TABLET
DF15936	MAHACEF 200MG TABLET
DF15939	CEFUROXIME 500MG
DF15941	MILCEF 500MG TABLET
DF16101	VERMOX TABLETS 100MGX6
DF16102	VERMOX TABLETS 500MGX1
DF16301	PYRANTEL TABLETS
DF16705	SPMC DIETHYLCARBAMAZIN 50MG TABLET
DF16802	WORMIN TABLETS 500MGX1
DF17305	DAZOLE TABLETS 2'S
DF17601	NITROFURANTOIN TABLETS SP
DF17701	FURAZOLIDONE TABS.100MG(T
DF21101	AMOXIL SYRUP 125MG
DF21110	ZITHRIN 15ML SUSPENSION
DF21112	CLARITEC GRANULES 125MG/5ML
DF21117	NEO-KLAR SUSPENSION 125MG/5ML
DF21201	AUGMENTIN SYRUP 156MG/5ML
DF21205	CURAM SUSPENSION 156.25MG/5ML
DF21212	AXCIL SYRUP
DF21213	ZITHROCIN SYRUP 200MG/5ML 
DF21401	ZINNAT SUSPENSION 125MG/5ML
DF21402	MILCEF 125MG/5ML SUSPENSION
DF21605	TAXIM-O FORTE 100MG/5ML SUSPENSION
DF21607	TRIFIX SUSPENSION 100MG/5ML
DF21710	CEPHALEXIN SYRUP (SPMC)
DF23401	SPORIDEX SYRUP
DF26301	PYRANTIN SUSPENSION
DFE0001	NEO-KLAR 500MG TABLET
DFE0002	TERBINAFORCE 250MG
DFE0003	ZYQ 200MG TABLET
DFE0004	CITAL LIQUID
DFE0009	UNITRAC 100MG
DFE0012	RIFAXA 550MG TABLET
DFE0015	FLUBIOTIC 500MG CAPSULE
DFE0016	FLUCLOX 250MG
DFE0019	FLUBIOTIC 250MG CAPSULE
DFE0020	FLUCLOX SUSPENSION
DFE0021	MEBEN 500MG
DFE0022	L-TRIM 480MG TABLET
DFE0023	GRISEBEN 500MG TABLET
DFE0027	AZ 500
DFE0029	KILBAC 500MG TABLET
DFE0030	ESTAZOL 400MG TABLET
DFE0031	IVEROTAJ 12MG TABLET
DFE0033	CEFEXIP SUSPENSION 125MG/5ML  
DFE0034	MYCLAVE SUSPENSION 156.25
DFE0035	SPMC AMOXYCILLIN 250MG CAPSULE
DFE0036	SPMC METRONIDAZOLE 200MG TABLET
DFE0037	DURACEF 200MG CAPSULE
DFE0038	DURACEF SUSPENSION 100MG/5ML
DFE0039	DURACEF SUSPENSION 100MG/5ML
DFE0040	CLINDAMIX 150MG CAPSULE
DFE0041	CLINDAMIX 300MG CAPSULE
DFE0042	LEVOCIL 250MG TABLET
DFE0043	LEVOCIL 500MG TABLET
DFE0044	NEO-KLAR 250MG TABLET
DFE0045	MOLOX 400MG TABLET
DFE0046	SAZO EN 500MG TABLET
DFE0047	UNIFLOX 250MG CAPSULE
DFE0048	UNIFLOX 125MG/5ML SOLUTION
